district_name,state_name
Kota,Rajasthan
Nagaur,Rajasthan
Pali,Rajasthan
Pratapgarh,Rajasthan
Rajsamand,Rajasthan
Sikar,Rajasthan
Sawai Madhopur,Rajasthan
Sirohi,Rajasthan
Tonk,Rajasthan
Udaipur,Rajasthan
East Sikkim,Sikkim
North Sikkim,Sikkim
South Sikkim,Sikkim
West Sikkim,Sikkim
Ariyalur,Tamil Nadu
Chengalpattu,Tamil Nadu
Chennai,Tamil Nadu
Coimbatore,Tamil Nadu
Cuddalore,Tamil Nadu
Dharmapuri,Tamil Nadu
Dindigul,Tamil Nadu
Erode,Tamil Nadu
Kallakurichi,Tamil Nadu
Kanchipuram,Tamil Nadu
Kanyakumari,Tamil Nadu
Karur,Tamil Nadu
Krishnagiri,Tamil Nadu
Madurai,Tamil Nadu
Nagapattinam,Tamil Nadu
Nilgiris,Tamil Nadu
Namakkal,Tamil Nadu
Perambalur,Tamil Nadu
Pudukkottai,Tamil Nadu
Ramanathapuram,Tamil Nadu
Ranipet,Tamil Nadu
Salem,Tamil Nadu
Sivaganga,Tamil Nadu
Tenkasi,Tamil Nadu
Tirupur,Tamil Nadu
Tiruchirappalli,Tamil Nadu
Theni,Tamil Nadu
Tirunelveli,Tamil Nadu
Thanjavur,Tamil Nadu
Thoothukudi,Tamil Nadu
Tirupattur,Tamil Nadu
Tiruvallur,Tamil Nadu
Tiruvarur,Tamil Nadu
Tiruvannamalai,Tamil Nadu
Vellore,Tamil Nadu
Viluppuram,Tamil Nadu
Virudhunagar,Tamil Nadu
Adilabad,Telangana
Komaram Bheem,Telangana
Bhadradri Kothagudem,Telangana
Hyderabad,Telangana
Jagtial,Telangana
Jangaon,Telangana
Jayashankar Bhupalpally,Telangana
Jogulamba Gadwal,Telangana
Kamareddy,Telangana
Karimnagar,Telangana
Khammam,Telangana
Mahabubabad,Telangana
Mahbubnagar,Telangana
Mancherial,Telangana
Medak,Telangana
Medchal-Malkajgiri,Telangana
Mulugu,Telangana
Nalgonda,Telangana
Narayanpet,Telangana
Nagarkurnool,Telangana
Nirmal,Telangana
Nizamabad,Telangana
Peddapalli,Telangana
Rajanna Sircilla,Telangana
Ranga Reddy,Telangana
Sangareddy,Telangana
Siddipet,Telangana
Suryapet,Telangana
Vikarabad,Telangana
Wanaparthy,Telangana
Warangal Urban,Telangana
Warangal Rural,Telangana
Yadadri Bhuvanagiri,Telangana
Dhalai,Tripura
Gomati,Tripura
Khowai,Tripura
North Tripura,Tripura
Sepahijala,Tripura
South Tripura,Tripura
Unokoti,Tripura
West Tripura,Tripura
Agra,Uttar Pradesh
Aligarh,Uttar Pradesh
Allahabad,Uttar Pradesh
Ambedkar Nagar,Uttar Pradesh
Amethi[17],Uttar Pradesh
Amroha,Uttar Pradesh
Auraiya,Uttar Pradesh
Azamgarh,Uttar Pradesh
Bagpat,Uttar Pradesh
Bahraich,Uttar Pradesh
Ballia,Uttar Pradesh
Balrampur,Uttar Pradesh
Banda,Uttar Pradesh
Barabanki,Uttar Pradesh
Bareilly,Uttar Pradesh
Basti,Uttar Pradesh
Bhadohi,Uttar Pradesh
Bijnor,Uttar Pradesh
Budaun,Uttar Pradesh
Bulandshahr,Uttar Pradesh
Chandauli,Uttar Pradesh
Chitrakoot,Uttar Pradesh
Deoria,Uttar Pradesh
Etah,Uttar Pradesh
Etawah,Uttar Pradesh
Faizabad,Uttar Pradesh
Farrukhabad,Uttar Pradesh
Fatehpur,Uttar Pradesh
Firozabad,Uttar Pradesh
Gautam Buddh Nagar,Uttar Pradesh
Ghaziabad,Uttar Pradesh
Ghazipur,Uttar Pradesh
Gonda,Uttar Pradesh
Gorakhpur,Uttar Pradesh
Hamirpur,Uttar Pradesh
Hapur,Uttar Pradesh
Hardoi,Uttar Pradesh
Hathras,Uttar Pradesh
Jalaun,Uttar Pradesh
Jaunpur,Uttar Pradesh
Jhansi,Uttar Pradesh
Kannauj,Uttar Pradesh
Kanpur Dehat,Uttar Pradesh
Kanpur Nagar,Uttar Pradesh
Kasganj,Uttar Pradesh
Kaushambi,Uttar Pradesh
Kushinagar,Uttar Pradesh
Lakhimpur Kheri,Uttar Pradesh
Lalitpur,Uttar Pradesh
Lucknow,Uttar Pradesh
Maharajganj,Uttar Pradesh
Mahoba,Uttar Pradesh
Mainpuri,Uttar Pradesh
Mathura,Uttar Pradesh
Mau,Uttar Pradesh
Meerut,Uttar Pradesh
Mirzapur,Uttar Pradesh
Moradabad,Uttar Pradesh
Muzaffarnagar,Uttar Pradesh
Pilibhit,Uttar Pradesh
Pratapgarh,Uttar Pradesh
Raebareli,Uttar Pradesh
Rampur,Uttar Pradesh
Saharanpur,Uttar Pradesh
Sambhal,Uttar Pradesh
Sant Kabir Nagar,Uttar Pradesh
Shahjahanpur,Uttar Pradesh
Shamli,Uttar Pradesh
Shravasti,Uttar Pradesh
Siddharthnagar,Uttar Pradesh
Sitapur,Uttar Pradesh
Sonbhadra,Uttar Pradesh
Sultanpur,Uttar Pradesh
Unnao,Uttar Pradesh
Varanasi,Uttar Pradesh
Almora,Uttarakhand
Bageshwar,Uttarakhand
Chamoli,Uttarakhand
Champawat,Uttarakhand
Dehradun,Uttarakhand
Haridwar,Uttarakhand
Nainital,Uttarakhand
Pauri Garhwal,Uttarakhand
Pithoragarh,Uttarakhand
Rudraprayag,Uttarakhand
Tehri Garhwal,Uttarakhand
Udham Singh Nagar,Uttarakhand
Uttarkashi,Uttarakhand
Alipurduar,West Bengal
Bankura,West Bengal
Paschim Bardhaman,West Bengal
Purba Bardhaman,West Bengal
Birbhum,West Bengal
Cooch Behar,West Bengal
Dakshin Dinajpur,West Bengal
Darjeeling,West Bengal
Hooghly,West Bengal
Howrah,West Bengal
Jalpaiguri,West Bengal
Jhargram,West Bengal
Kalimpong,West Bengal
Kolkata,West Bengal
Maldah,West Bengal
Murshidabad,West Bengal
Nadia,West Bengal
North 24 Parganas,West Bengal
Paschim Medinipur,West Bengal
Purba Medinipur,West Bengal
Purulia,West Bengal
South 24 Parganas,West Bengal
Uttar Dinajpur,West Bengal
Nicobar,Andaman and Nicobar Islands
North and Middle Andaman,Andaman and Nicobar Islands
South Andaman,Andaman and Nicobar Islands
Chandigarh,Chandigarh
Dadra and Nagar Haveli,Dadar and Nagar Haveli
Daman,Daman and Diu
Diu,Daman and Diu
Lakshadweep,Lakshadweep
Central Delhi,Delhi
East Delhi,Delhi
New Delhi,Delhi
North Delhi,Delhi
North East Delhi,Delhi
North West Delhi,Delhi
Shahdara,Delhi
South Delhi,Delhi
South East Delhi,Delhi
South West Delhi,Delhi
West Delhi,Delhi
Karaikal,Puducherry
Mahe,Puducherry
Pondicherry,Puducherry
Yanam,Puducherry
